id,date,author_id,comments
215,2018-07-25,8,70
216,2018-08-15,28,88
217,2018-09-02,43,77
218,2018-09-22,33,16
219,2018-10-10,28,46
220,2018-10-30,28,26
221,2018-11-18,22,4
222,2018-12-05,13,39
223,2019-01-20,29,32
224,2019-02-15,24,41
225,2019-03-05,1,38
226,2019-03-28,36,16
227,2019-04-15,15,72
228,2019-05-02,12,88
229,2019-06-10,25,15
230,2019-07-20,23,94
231,2019-08-05,20,89
232,2019-09-18,39,63
233,2019-10-08,42,17
234,2019-11-25,16,79
235,2019-12-15,21,77
236,2014-12-15,9,86
237,2020-04-01,14,2
238,2020-04-15,5,52
239,2020-05-01,1,54
240,2020-05-15,16,10
241,2020-06-03,38,21
242,2020-06-18,11,53
243,2020-07-05,20,96
244,2020-07-20,40,35
245,2020-08-01,46,68
246,2020-08-15,29,84
247,2020-09-03,44,20
248,2020-09-18,23,35
249,2020-10-05,26,57
250,2020-10-20,46,1
251,2020-11-03,13,33
252,2020-11-18,5,40
253,2020-12-05,26,7
254,2020-12-20,44,95
255,2021-01-10,23,66
256,2021-01-25,16,32
257,2021-02-10,38,31
258,2021-03-01,33,88
259,2021-03-15,44,16
260,2021-04-01,10,9
261,2021-04-20,21,81
262,2021-05-08,13,78
263,2021-05-28,1,72
264,2021-06-15,19,31
265,2021-07-05,2,49
266,2021-07-25,29,35
267,2021-08-15,8,86
268,2021-09-02,36,6
269,2021-09-22,46,52
270,2021-10-10,50,57
271,2021-10-30,35,11
272,2021-11-18,32,7
273,2021-12-05,11,31
274,2022-01-20,2,40
275,2022-02-10,20,10
276,2022-03-28,45,8
277,2022-04-15,4,78
278,2022-05-02,35,68
279,2022-06-10,17,75
280,2022-07-20,34,14
281,2022-08-05,1,62
282,2022-09-18,34,52
283,2022-10-08,20,58
284,2022-11-25,22,96
285,2022-12-15,3,48
